Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Permit,140 Tennyson Av,May 30 2012,Permit Issued,Permit Issued,11000-01631,Permit: #12REV-00290,11000-01631: DEFERRED SUBMITTAL FOR TRUSS CALCS. TWO IDENTICAL HOUSES WERE BUILT ON THE SAME LOT. ONE SET OF TRUSS CALCULATIONS FOR BOTH HOUSES. FEES CHARGED UNDER 12REV-00290,
palo alto,Plam Check,271 Ely Pl,,,,10000-03446,Permit: #12000-00228,PARTIAL COPPER RE-PIPE; HOT WATER ONLY.,
palo alto,— Inspection,2137 Bowdoin St,Jun 15 2015,Permit Issued,Approved,14000-02763,Web-Re-roofing,Remove existing and install 1 layer of Tiger Paw as under laymen and GAF Timberline HD LIfetime composition. Garage only,
palo alto,— Inspection,101 California Av,Jul 28 2015,Permit Issued,Approved,14000-01305,Re-roofing,PARTIAL RE-ROOF OF FLAT SECTION ONLY (APPROX 2 SQUARES) DUROLAST OVERLAY (BLDG X),
palo alto,— Permit,212 Homer Av,Nov 2 2012,Permit Issued,Permit Issued,12000-02530,Permit: #12REV-00609,12000-02530: REVISE PLANS TO SHOW CONFERENCE ROOM HEATING WILL USE A SPLIT SYSTEM INSTEAD OF VAV,
palo alto,— Inspection,3918 Duncan Pl,Oct 24 2012,Permit Issued,Approved,12000-01914,Permit: #12000-01914,KITCHEN REMODEL (138 SF),
palo alto,— Inspection,674 Florales Dr,Nov 15 2012,Permit Issued,Rescheduled,12000-00342,Permit: #12000-00342,RESIDENTIAL ADDITION AND REMODEL; ADD SECOND STORY AND NEW ATTACHED GARAGE AND KITCHEN ON 1ST FLOOR. INSTALL TANKLESS WATER HEATER.,
palo alto,— Permit,3024 Greer Rd,Feb 14 2012,Permit Issued,Permit Issued,12000-00356,Permit: #12000-00356,INSTALL NEW BOILER TO REPLACE OLD ONE,
palo alto,— Inspection,989 Embarcadero Rd,Aug 7 2013,Permit Issued,Approved,13000-00218,Permit: #13000-00218,EXTEND / REMODEL DETACHED GARAGE 76 SQ FT,
palo alto,— Inspection,2110 Yale St,Aug 7 2013,Permit Issued,Approved,13000-01404,Permit: #13000-01404,RESIDENTIAL REMODEL ~1000SF INCLUDES KITCHEN AND LIVING SPACE.,
palo alto,— Inspection,748 San Jude Av,Jun 28 2012,Permit Issued,Approved,12000-00350,Permit: #12000-01418,TEMP POWER,
palo alto,— Permit,985 El Cajon Way,Feb 14 2012,Permit Issued,Issued through Velocity Hall,12000-00360,Permit: #12000-00360,REMOVE/REPLACE GAS WATER HEATER,
palo alto,— Inspection,229 Byron St,Jun 13 2012,Permit Issued,Approved,12000-00378,Permit: #12000-00378,REPLACE FAU IN THE SAME LOCATION AS THE EXISTING (BASEMENT) ADD NEW EXTERIOR AC UNIT AND INSTALL 9 NEW SUPPLY DUCTS,
palo alto,— Inspection,3363 Kipling St,Nov 4 2011,Permit Issued,Approved,11000-02443,Permit: #11000-02443,REROOF: 18 SQUARES. INSTALL (N) 30 YEAR COMP O/ (N) 1/2-INCH OSB SHEATHING,
palo alto,— Permit,4165 Old Adobe Rd,Jan 17 2013,Permit Issued,Permit Issued,11000-02470,Permit: #12REV-00163,11-2470: LOWERING EAST CORNER OF UPPER PATIO FOR A FUTURE PORTABLE SPA AND CHANGES TO EXTERIOR STAIR LANDING. (COMPLETE DESCRIPTION OF SCOPE OF WORK ARE ATTACHED TO OFFICE AND JOB COPY),
palo alto,— Inspection,774 Emerson St,Jun 26 2013,Permit Issued,Approved,12000-01650,Permit: #13000-00655,WHOLE FOODS: 1600 SQ FT REMODEL OF COFFEE JUICE BAKERY AND PREPARED FOODS SERVICE AREAS. REPLACE (E) COLD CASES WITH SIMILAR. [DEH #SR0840380] [DEH #SR0841969],
palo alto,Plam Check,974 Commercial St,Jan 4 2016,Permit Issued,Approved,16000-00014,Com Remodel/Repair,REVISE DOWNSPOUTS TO ROUTE RAIN WATER TO THE FRONT OF THE PROPERTY SO IT DOES NOT DISCHARGE ONTO THE NEIGHBORS PROPERTY,
palo alto,— Inspection,512 Hamilton Av,Sep 10 2010,Permit Issued,Approved,10000-02307,Permit: #10000-02307,GAS LEAK REPAIR,
palo alto,— Permit,1128 Webster St,Nov 16 2010,Permit Issued,Permit Issued,10REV-00452,Permit: #10REV-00452,10-468; REVISED MASTER BEDROOM CEILING DESIGN TO CATHEDRAL.,
palo alto,— Inspection,467 Maureen Av,Jun 22 2010,Permit Issued,Approved,10000-00558,Permit: #10000-01317,TEMPORARY OVERHEAD POWER FOR CONSTRUCTION.,
palo alto,— Inspection,3481 Kenneth Dr,Aug 3 2015,Permit Issued,Approved,15000-01752,Re-roofing,RESIDENTIAL REROOF: 29 SQUARES OF FOAM OVERLAY O/ T&G,
palo alto,Plam Check,881 E Meadow Dr,,,,09000-00633,Permit: #10000-00335,TEAR OFF EXISTING MOD/BIT AND INSTALL GAF GRAND SEQUOIA COMP. 30# FELT. DURO-LAST ON ATTACHED GARAGE.,
palo alto,— Inspection,3795 Corina Wy,May 2 2011,Permit Issued,Approved,10000-01605,Permit: #10000-01605,ADDITION TO SFR 518 SF,
palo alto,— Inspection,3499 Greer Rd,Jun 2 2010,Permit Issued,Approved,10000-00660,Permit: #10000-00660,CLEAN DEBRIS AND APPLY FOAM & COATINGS TO EXISTING TAR & GRAVEL ROOF. 30 SQUARES.,
palo alto,— Inspection,530 Ashton Av,Aug 20 2010,Permit Issued,Approved,10000-00569,Permit: #10000-00569,SEWER LINE REPLACEMENT UNDERSLAB TO 2 FIXTURES.,
palo alto,— Inspection,2505 Greer Rd,Apr 22 2010,Permit Issued,Approved,10000-00568,Permit: #10000-00568,REROOF 4 PLY TAR GRAVEL; LIKE FOR LIKE ~2800FT^2,
palo alto,— Inspection,728 Middlefield Rd,Jul 1 2014,Permit Issued,Approved,13000-03257,Permit: #13000-03257,REPLACE MAIN ELECTRIC PANEL W/ 200A 4 SOCKET MAIN PANEL AND RELOCATE GAS METERS TO PROVIDE REQUIRED CLEARANCE,
palo alto,— Inspection,4256 Los Palos Pl,Mar 26 2010,Permit Issued,Approved,10000-00566,Permit: #10000-00566,REPLACE FURNACE IN SAME LOCATION,
palo alto,— Inspection,4276 Wilkie Wy,Jun 26 2015,Permit Issued,Approved,15000-01406,Res Elect/Plbg/Mech only,SEWER REPAIR 6LF NEAR PLANTER BOX NO WORK IN PUBLIC RIGHT OF WAY,
palo alto,— Inspection,367 University Av,Mar 23 2010,Permit Issued,Approved,10000-00562,Permit: #10000-00562,U&O 'CREPEVINE RESTAURANT' A OCCUPANCY 2600 SF.,
palo alto,— Inspection,1963 El Camino Real,May 30 2014,FIR - Routed,Approved,10000-01961,Permit: #10000-01961,U&O FOR "ELITE AUTO PERFORMANCE" TO SUBLEASE FROM VALERO GAS STATION ~650 SF,
palo alto,— Inspection,700 Ames Av,Jun 24 2010,Permit Issued,Approved,10000-00590,Permit: #10000-00590,CLEAN DEBRIS SPRAY FOAM AND COATING ON EXISTING ROLLED ROOFING - CLASS A - 38 SQUARES,
palo alto,— Inspection,2770 Cowper St,Mar 25 2010,Permit Issued,Approved,10000-00587,Permit: #10000-00587,REPLACE 25 FT OF SEWER LINE,
palo alto,— Permit,770 Seale Av,Sep 1 2010,Permit Issued,Permit Issued,10000-00586,Permit: #10REV-00320,LOWERED SOLID RAILING OF BALCONY NEW TRELLIS WITH SAME HIGHT AS BALCONY.,
palo alto,— Inspection,662 Melville Av,Jul 28 2015,Permit Issued,Approved,14000-01921,Res Elect/Plbg/Mech only,REROUTE GASLINE TO NEW METER LOCATION AND INSTALL NEW TANKLESS WATER HEATER,
palo alto,— Inspection,253 Fernando Av,Apr 7 2010,Permit Issued,Approved,10000-00582,Permit: #10000-00582,BATHROOM REMODEL,
palo alto,— Inspection,3106 Bandera Dr,Jun 18 2015,Permit Issued,Approved,14000-00683,Permit: #14000-00683,REMOVEREPLACE 48G WATER HEATER,
palo alto,— Inspection,4173 El Camino Real Unit 20,Jun 24 2014,Permit Issued,Approved,14000-01085,Res Remodel/Repair,RESIDENTIAL (55 SF) BATHROOM REMODEL. REPLACE TUB/SHOWER SINK AND CABINETS ALL IN SAME LOCATION.NO STRUCTURAL/EXTERIOR CHANGES.,
palo alto,— Inspection,4063 Park Bl,Apr 8 2010,Permit Issued,Approved,10000-00576,Permit: #10000-00576,FLAT ROOF ONLY - TEAR OFF OLD ROOF REPLACE ANY DRYROT INSTALL NEW CAPSHEET ROOF - CLASS A 5.5 SQUARES,
palo alto,— Permit,3821 Ross Rd,Mar 22 2010,Permit Issued,Permit Issued,10REV-00086,Permit: #10REV-00086,07-0046: ADD TEMPERED GLASS INFILL AT FRONT BALCONY GUARDRAIL SYSTEM (INSTEAD OF CABLE SYSTEM),
palo alto,— Inspection,1130 Webster St,Oct 3 2011,Approved,Approved,10000-00589,Permit: #10000-00589,DEMO GUEST HOUSE (598 SF),
palo alto,— Inspection,2185 Hanover St,Jun 21 2010,Permit Issued,Approved,10000-00606,Permit: #10000-00606,PHOTOVOLTAIC SYSTEM TIED TO GRID; 10 PANELS,
palo alto,— Inspection,835 San Antonio Av,May 14 2010,Permit Issued,Approved,10000-00741,Permit: #10000-00741,INSTALL BACKFLOW DEVICE,
palo alto,Plam Check,470 Alger Dr,Mar 25 2009,,Approved,09REV-00118,Permit: #09REV-00118,08-1628: ADDING STEAL BEAM TO LIVING ROOM REMOVE BEAM AT WINDOW AREA (SHEET S-3),
palo alto,— Inspection,350 Oxford Av,May 28 2009,Permit Issued,Approved,09000-00556,Permit: #09000-01014,TEMP POWER,
palo alto,Plam Check,620 Newell Rd,Aug 7 2009,,Plans received; pending review,09REV-00300,Permit: #09REV-00300,08-02511: AMMR TO USE COCOON2 STABILIZED BORATE FORMULA BLOWN-IN FOAM INSULATION ESR-1996 IN KITCHEN/FAMILY ROOM AREAS DUE TO KNOW VENTILLATION,
palo alto,— Inspection,125 Lowell Av,Mar 26 2009,,Approved,09000-00580,Permit: #09000-00580,200 AMP ELECTRIC SERVICE UPGRADE (SAME LOCATION).,
palo alto,— Inspection,4365 Miranda Av,Mar 26 2009,,Approved,09000-00562,Permit: #09000-00562,200 AMP ELECTRIC SERVICE UPGRADE IN EXISTING O.H. LOCATION.,
palo alto,— Inspection,1089 Tanland Dr Unit 113,Apr 22 2009,,Approved,09000-00561,Permit: #09000-00561,REMODEL KITCHEN AND BATH NEW LAUNDRY SUBPANEL & SUBFEED.,
palo alto,— Inspection,420 Palm St,Jan 25 2010,Permit Issued,Approved,09000-01506,Permit: #09000-01506,DETACHED GARAGE/WORKSHOP REPAIR FOR TERMITE & DRY-ROT DAMAGE (613-SF) CREATE ONE OUT OF TWO ENTRY DOOR REMOVE MAN DOOR ADD WINDOW REDUCE WORKSHOP SIZE (13-SF),
palo alto,— Inspection,3631 Evergreen Dr,May 28 2010,Permit Issued,Approved,09000-02792,Permit: #09000-02792,2ND-STORY ADDITION (102-SF HABITABLE 416-SF STORAGE = 518-SF),
palo alto,— Inspection,1491 Edgewood Dr,Jun 4 2009,,Approved,09000-00553,Permit: #09000-00553,NEW DETACHED GARAGE,
palo alto,— Inspection,570 Kelly Wy,Apr 22 2016,Permit Issued,Investigation,16000-00551,Res Elect/Plbg/Mech only,REPLACE TANK WATER HEATER WITH NEW TANKLESS WATER HEATER NEW DEDICATED LINE FROM METER.,
palo alto,— Inspection,1345 Webster St,Mar 24 2009,,Approved,09000-00567,Permit: #09000-00567,REPLACE WATER LINE FROM FRONT LEFT OF FOUNDATION TO FRONT PROPERTY LINE (APPROX 37-FT) TYPE L,
palo alto,— Permit,525 University Av 400,Jun 11 2010,Permit Issued,Permit Issued,09000-00566,Permit: #09000-00566,U&O FOR NEW TENANT "HOGAN & HARTSON" STE 300 (4500 SF) & 400 (5600 SF).,
palo alto,— Inspection,2449 Waverley St,Jun 21 2016,Permit Issued,Not Approved - Not Ready,16000-01401,Res Remodel/Repair,RESIDENTIAL REMODEL (250 SF) REDUCE PANTRY TO CREATE NEW SHOWER CONVERT EXISTING OFFICE INTO BEDROOM CONVERT MASTER BEDROOM INTO TWO BEDROOMS,
palo alto,— Inspection,3963 Fabian Wy,Mar 15 2011,Permit Issued,Approved,11000-00535,Permit: #11000-00535,INSTALL SEISMIC GAS VALVE,
palo alto,— Permit,3500 Deer Creek Rd Bldg 24 M,Feb 28 2011,Permit Issued,Permit Issued,11REV-00088,Permit: #11REV-00088,INSTALLATION OF (9) ELECTRIC CAR LIFTS(6) ELECTRIC CHARGING STATIONS AND ASSOCIATED COMPRESSED AIR LINES.,
palo alto,— Permit,3894 El Camino Real,Jun 6 2014,Permit Issued,Permit Issued,14000-01351,Com Elect/Plbg/Mech only,REPLACE PLUMBING AND ELECTRICAL FOR 15 NEW COIN OPERATED WASHERS ***STOP WORK ISSUED***,
palo alto,— Inspection,395 Page Mill Rd,Apr 12 2016,Finaled,Approved,15000-01879,Com Remodel/Repair,OFFICE TENANT IMPROVEMENT (3800SF) FOR EXISTING FIRM "DISNEY- PLAYDOM" INCLUDES DEMISING 2ND FLOOR INTO 2 SPACES. CREATE NEW CONFERENCE ROOM FOR DISNEY. APPLICATION INCLUDES COMPLETE BUILD OUT OF NEW SPACE SUITE 250 FOR NEW FIRM "JAUNT INC" . INCLUDES U&O FOR "JAUNT INC" VIRTUAL REALITY FIRM.,
palo alto,— Inspection,144 Melville Av,Jul 13 2011,Permit Issued,Approved,11000-00694,Permit: #11000-00694,NEW CONCRETE LIGHTWELL AND LADDER TO (E) BASEMENT. REMOVE (E) GAS FIREPLACE AND ADD NEW WINDOW AND TWO NEW EXTERIOR DOORS. NEW VAULTED CEILING IN THE KITCHEN. NEW KITCHEN LIGHTING.,
palo alto,— Inspection,555 Hamilton Av,Oct 5 2015,Finaled,Not completed; inspector unable to enter. Customer needs to reschedule the inspection.,15000-00545,Com Elect/Plbg/Mech only,ELECTRICAL FOR (1) ILLUMINATED SIGN PER 15PLN-00074,
palo alto,— Permit,160 Island Dr,Jul 25 2012,Permit Issued,Permit Issued,12REV-00408,Permit: #12REV-00408,11-415: DEFERRED SUBMITTAL FOR TANKLESS WATER HEATER SINGLE LINE DIAGRAM,
palo alto,— Inspection,200 Arboretum Rd,May 1 2015,Permit Issued,Approved,15000-00684,Com Remodel/Repair,EXISTING TENANT "NORDSTROM" TO REPLACE ALL ENTRY (4) DOORS.,
palo alto,— Inspection,351 Oxford Av,Mar 14 2011,Permit Issued,Approved,11000-00510,Permit: #11000-00510,REPLACE THE SEWER MAIN,
palo alto,— Inspection,325 Curtner Av,Oct 14 2015,Finaled,Approved,15000-02627,Web-Re-roofing,remove 50sq of T&G and replace with 50 Mil Cool IB,
palo alto,— Inspection,4118 Sutherland Dr,Mar 2 2011,Permit Issued,Approved,11000-00506,Permit: #11000-00506,water heater replacement,
palo alto,— Inspection,3073 Middlefield Rd Unit 101,Feb 1 2016,Permit Issued,Approved,16000-00056,Res Remodel/Repair,CONDO BATHROOM REMODEL (35 SF). REMOVE AND REPLACE BATHTUB INSTALL AN NEW TUB/SHOWER VALVE FAN AND NEW TILE SURROUND.,
palo alto,— Inspection,3230 Alexis Dr,Feb 20 2013,Permit Issued,Approved,11000-01777,Permit: #11000-01777,NEW EXTERIOR RESIDENTIAL NATURAL GAS POWERED GENERATOR NEW RETAINING WALL ENCLOSURE FOR THE GENERATOR NEW TRANSFER SWITCH LOCATED IN (E) ELECTRICAL ROOM AND REVISED LANDSCAPING AROUND GENERATOR,
palo alto,— Permit,2040 Louis Rd,Feb 25 2011,Permit Issued,Issued through Velocity Hall,11000-00522,Permit: #11000-00522,REPLACE WATER HEATER SAME LOCATION,
palo alto,— Permit,236 Churchill Av,Jul 29 2011,Permit Issued,Permit Issued,11000-01123,Permit: #11REV-00268,[11-1123] REMOVE BATHROOM ON EXISTING PERMITTED PLANS AND ADD NEW 58SF BATHROOM TO REAR.,
palo alto,— Inspection,526 Seneca St,Nov 5 2015,Finaled,Approved,15000-02762,Res Remodel/Repair,RESIDENTIAL REMOVE AND REPLACE DRY ROT BALCONY FLOOR SHEATHING AND INSTALL SAFETY RAILS TO PROVIDE REQUIRED SUPPORT,
palo alto,— Inspection,2842 Greer Rd,Mar 16 2011,Permit Issued,Approved,11000-00583,Permit: #11000-00583,FURNACE REPLACEMENT SAME LOCATION,
palo alto,— Inspection,3850 Fabian Wy,Jan 28 2016,Permit Issued,Approved,15000-02726,Res Elect/Plbg/Mech only,LORAL SPACE & COMMUNICATIONS INC: NEW SUBPANEL ON THE SECOND FLOOR AND NEW ELECTRICAL CONNECTIONS FOR NEWLY CONSTRUCTED PARTITIONS.,
palo alto,— Permit,409 Sherman Av,Feb 28 2011,Permit Issued,Permit Issued,11000-00529,Permit: #11000-00529,ROOFTOP HEAT PUMP REPLACEMENT,
palo alto,— Inspection,2890 Ross Rd,Mar 14 2011,Permit Issued,Approved,11000-00528,Permit: #11000-00528,RESIDENTIAL REROOF INSTALL CLSS "A" TAR GRAVEL,
palo alto,— Inspection,265 Tennyson Av,Oct 5 2011,Permit Issued,Approved,11000-00526,Permit: #11000-00526,REMODEL OF TWO BATHROOMS AND ADJOINING OFFICE AND GUEST BEDROOM,
palo alto,— Permit,3520 W Bayshore Rd,Oct 23 2012,Permit Issued,Permit Issued,12000-02459,Permit: #12000-02459,GMAB INC: U&O ONLY FOR A SINGLE STORY 3609 SF TENANT SPACE. planning use: medical research **U&O SENT 10/24/12**,
palo alto,— Permit,245 Whitclem Ct,Feb 28 2011,Permit Issued,Permit Issued,11000-00527,Permit: #11000-00527,ELECTRIC SERVICE UPGRADE TO 200 AMPS FROM 160 AMPS. All work per NEC & CPA specs. Disconnect / reconnect after all inspections and approvals. No fees.,
palo alto,Plam Check,4190 El Camino Real,Feb 4 2016,Permit Issued,Plan check not required,16000-00246,Com Elect/Plbg/Mech only,COMMERCIAL REPLACE (2) FURNACES LIKE FOR LIKE,
palo alto,— Inspection,3977 Fabian Wy,Jan 15 2015,Permit Issued,Cancelled,14000-02111,Re-roofing,BUILDING 7 SPACE SYSTEMS LORAL: REROOF 141 SQUARES OF JOHNS MANVILLE PVC 80 MIL ROOFING O/(E) ROOFING. THIS IS A FLAT ROOF NOT VISIBLE FROM THE STREET AS THE BUILDING HAS A 4-FOOT PARAPET,
palo alto,— Inspection,1036 E Meadow Ci,Mar 15 2011,Permit Issued,Approved,11000-00538,Permit: #11000-00538,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,3870 Fabian Wy,Mar 15 2011,Permit Issued,Approved,11000-00537,Permit: #11000-00537,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,3950 Fabian Wy,Mar 15 2011,Permit Issued,Approved,11000-00536,Permit: #11000-00536,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,1025 E Meadow Ci,Mar 15 2011,Permit Issued,Approved,11000-00541,Permit: #11000-00541,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,3980 Fabian Wy,Mar 15 2011,Permit Issued,Approved,11000-00540,Permit: #11000-00540,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,1050 E Meadow Ci,Mar 15 2011,Permit Issued,Approved,11000-00539,Permit: #11000-00539,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,2860 W Bayshore Wy,Jul 12 2011,Permit Issued,Approved,11000-00543,Permit: #11000-00543,INSTALL SEISMIC GAS VALVE,
palo alto,— Inspection,1086 E Meadow Ci,Jun 11 2012,Permit Issued,Approved,12000-00412,Permit: #12000-00412,U&O AND TENANT IMPROVEMENT FOR "SPACE SYSTEMS LORAL",
palo alto,— Inspection,471 Emerson St,Jun 20 2015,Permit Issued,Approved,14000-01061,Re-roofing,REROOF: COMMERCIAL. INSTALL SINGLE PLY OVER EXISTING ROOF COVER. APPROX 50 SQUARES,
palo alto,— Permit,627 Seale Av,May 2 2012,Permit Issued,Permit Issued,12000-00399,Permit: #12REV-00242,12-399; REVISION INCLUDES BEDROOM EGRESS WINDOWS SAME WIDTH AND STRUCTURAL DESIGN IN KITCHEN AND FAMILY ROOM.,
palo alto,— Inspection,770 Gailen Ct,Nov 27 2012,Permit Issued,Approved,12000-02253,Permit: #12000-02253,SWEEP GRAVEL AND OVERLAY WITH FOAM - 22 SQUARES,
palo alto,Plam Check,661 Bryant St,Jul 20 2015,Finaled,Approved,15000-01645,Revision,15000-01645: REVISED CONFERENCE ROOM DESIGN TO ACCOMODATE LOAD BEARING WALL.,
palo alto,— Permit,945 Matadero Av,Mar 8 2013,Permit Issued,Permit Issued,11000-02827,Permit: #13000-00088,23.6 kWh BATTERY BACK-UP SYSTEM WITH (2) SMA SUNNY ISLAND 6048-US INVERTERS AND (8) GS BATTERIES SLX246-12 BATTERIES. AMMR GRANTED FOR WIRE SIZE,
palo alto,— Permit Issuance,950 Page Mill Rd,Jun 10 2016,Permit Issued,Permit Issued,16000-01429,Com Remodel/Repair,TENANT IMPROVEMENT 200SF FOR EXISTING FIRM "WILMAR HALE" INCLUDE NEW ROOFTOP MECHANICAL EQUIPMENT ASSOCIATED NEW DUCTWORK ELECTRICAL AND PLUMBING WORK. NEW EXTERIOR DOOR FOR CONVERTED MECHANICAL ROOM AT VIDEO CONFERENCE ROOM.,
palo alto,— Inspection,434 Fulton St,Jun 4 2013,Permit Issued,Rescheduled,13000-00813,Permit: #13000-00813,INSTALL ROOFTOP AC UNIT AND NEW ASSOCIATED ELECTRICAL MECHANICAL AND PLUMBING.,
palo alto,— Inspection,416 Fulton St,Sep 12 2011,Permit Issued,Approved,11000-02165,Permit: #11000-02165,SEWER LATERAL REPLACEMENT 20-FEET USING PIPEBURST METHOD,
palo alto,Plam Check,455 Charleston Rd,Mar 31 2016,Permit Issued,Approved,14000-02073,Revision,14000-02073: RELOCATE 60 LF OF CONDUIT AFTER THE METER AND ADD TWO SPLICE BOXES TO AVOID A NEW FOOTING.,
palo alto,— Inspection,535 Arastradero Rd Apt 216,May 14 2012,Permit Issued,Approved,12000-00363,Permit: #12000-00363,REPLACE FURNACE - SAME LOCATION - 45000 BTU,
palo alto,— Permit,1055 Embarcadero Rd,Feb 16 2012,Permit Issued,Permit Issued,11000-03194,Permit: #12REV-00090,11-3194; REVISION APPLICATION INCLUDES ADDED SCOPE OF WORK TO INCLUDE ADDITIONAL BATHROOM REMODEL ~ 45 SF. FEES ON MAIN BUILDING PERMIT SHALL BE UPDATED TO REFLECT ADDED SCOPE OF WORK + $5000.,
palo alto,— Inspection,916 Moreno Av,Jun 6 2012,Permit Issued,Rescheduled,12000-00374,Permit: #12000-00374,(2) WINDOW REPLACEMENT LIKE FOR LIKE.,
palo alto,— Inspection,2277 Williams St,Feb 23 2012,Permit Issued,Approved,12000-00373,Permit: #12000-00373,RESIDENTIAL SEWER REPLACEMENT: REPLACE 35-FEET OF SEWER FROM CLEANOUT IN FRONT OF THE HOUSE TO THE CLEANOUT IN THE PLANTER STRIP PIPE-BURST METHOD. STREET WORK PERMIT UNDER 12STR-31,
palo alto,— Inspection,271 Everett Av,Mar 13 2012,Permit Issued,Approved,12000-00372,Permit: #12000-00372,COPPER REPIPE WATER MAIN AND 6-PLEX.,
palo alto,— Inspection,554 Kingsley Av,May 1 2012,Permit Issued,Approved,12000-00371,Permit: #12000-00390,RE-ROOF SINGLE FAMILY; INSTALL NEW COMPOSITIN SHINGLE ROOF (46 SQUARES) REMOVE (E) WOOD SHAKE; INSTALL NEW SHEATHING.,
palo alto,— Inspection,3916 El Camino Real,Jul 17 2012,Permit Issued,Approved,12000-00370,Permit: #12000-00370,HAPPY DONUTS: INSTALL 6-FOOT TYPE 1 HOOD SYSTEM FOR (E) TENANT WITH TWO NEW FRYERS AND A NEW GRILL. [DEH #SR0837445],
palo alto,— Inspection,4104 Solana Dr,Apr 27 2012,Permit Issued,Approved,12000-00368,Permit: #12000-00906,TEMPORARY CONSTRUCTION POWER POLE.,
palo alto,— Inspection,438 Ventura Av Apt 4,Mar 23 2012,Permit Issued,Approved,12000-00380,Permit: #12000-00380,REPLACE EXISTING WALL HEATER WITH NEW 35000 BTU WALL HEATER CONNECTED TO EXISTING FLUE AND UTILITIES,
palo alto,— Inspection,680 Forest Av,Aug 7 2013,Permit Issued,Approved,13000-02020,Permit: #13000-02020,Remove and replace 50 gallon water heater in the same location,
palo alto,— Inspection,718 E Meadow Dr,Oct 21 2013,Permit Issued,Approved,13000-01944,Permit: #13000-01944,FURNACE REPALCEMENT IN SAME LOCATION.,
palo alto,— Inspection,1234 Emerson St,Mar 2 2012,Permit Issued,Not approved; corrections required,12000-00381,Permit: #12000-00381,To remove existing layers of comp. and wood shingles felt and flashings. To apply 1/2" CDX plywood. To install approx. 1500 square feet of a classs "A" lifetime dimensional fiberglass shingle,
palo alto,— Permit,450 Melville Av,Jul 24 2013,Permit Issued,Permit Issued,13000-01570,Permit: #13REV-00463,(130000-014570) MOUNTING CHANGES,
palo alto,— Inspection,3814 Magnolia Dr N,Aug 7 2012,Permit Issued,Approved,12000-00397,Permit: #12000-00397,NEW ACCESSORY STRUCTURE ~312SF WITH ELECTRICAL.,
palo alto,— Inspection,855 El Camino Real Suite 105,Apr 4 2012,Permit Issued,Approved,12000-00396,Permit: #12000-00679,INTERIOR NON-STRUCTURAL DEMO IN PREPARATION FOR TI.,
palo alto,— Inspection,747 Los Robles Av,Jan 11 2012,Permit Issued,Approved,11000-03160,Permit: #11000-03160,INSTALL NEW BOILER TO REPLACE OLD ONE,
palo alto,— Inspection,521 El Capitan Pl,Dec 3 2012,Permit Issued,Approved,12000-00469,Permit: #12000-00469,RESIDENTIAL ADDITION 448SF AND REMODEL,
palo alto,— Inspection,4282 Ponce Dr,Jan 2 2013,Permit Issued,Rescheduled,12000-02917,Permit: #12000-02917,BATHROOM RENOVATION REPLACE TOILET TUB VANITY AND WINDOW (LIKE FOR LIKE); INSTALL GFCI AND OCCUPANCY SENSOR.,
palo alto,— Inspection,2606 Cowper St,May 10 2012,Permit Issued,Approved,12000-00986,Permit: #12000-00986,RE-ROOF SFR; REMOVE (E) COMP/SHAKE; INSTALL NEW COMPOSITION ROOF (26SQ)AND NEW SHEATHING.,
palo alto,— Inspection,1045 Hutchinson Av,Jun 18 2014,Permit Issued,Not approved; corrections required,13000-02892,Permit: #13000-02892,SINGLE STORY ADDITION (50 SF) AND KITCHEN REMODEL (180 SF),
palo alto,— Inspection,4164 Wilkie Wy,Dec 6 2013,Permit Issued,Rescheduled,13000-02170,Permit: #13000-02170,HALL BATHROOM REMODEL ~50SF. INCLUDES CURBLESS SHOWER ASSOCIATED MECHANICAL ELECTRICAL AND PLUMBING.,
palo alto,— Inspection,3149 Avalon Ct,Feb 1 2013,Permit Issued,Rescheduled,13000-00296,Permit: #13000-00296,FURNACE CHANGE OUT IN EXSTING LOCATION IN CLOSET,
palo alto,— Inspection,2227 Tasso St,Sep 11 2013,Permit Issued,Approved,13000-00716,Permit: #13000-00716,RESIDENTIAL MASTER BATHROOM REMODEL (55 SF),
palo alto,— Urban Forestry Review,3170 Porter Dr,Jun 13 2016,Permit Issued,Approved,15000-02754,Revision,15000-02754 REVISION BULLETIN 1& BULLETIN 2 UPDATED STAIR LOCATION REVISION TO COURTYARD CHANGES TO ROOF SCREEN,
palo alto,— Inspection,2805 El Camino Real,Oct 22 2010,Permit Issued,Cancelled,10000-01160,Permit: #10000-02672,ADD ONE NEW PLUG IN THE TELEPHONE ROOM FOR TELECOMUNICATION EQUIPMENT,
palo alto,— Inspection,1525 Channing Av,Jun 1 2010,Permit Issued,Approved,10000-00604,Permit: #10000-01240,ELECTRICAL SERVICE UPGRADE,
palo alto,Plam Check,3070 Ramona St,Nov 18 2015,Finaled,Plan check not required,15000-01528,Res Elect/Plbg/Mech only,TEMP POWER,
